Pond,doc,abw,feed_given,do,temperature,energy_cost,labor_cost,harvest_cost,bonus_cost,Mortalitas (kg),Mortalitas (pcs),sr,seed_cost,initial_stocking,probiotic_cost,feeding_cost,date,other_cost,nh4,nh3,tan,ph,alkalinity,salinity,orp,ca,mg,hardness,po4,no2,no3,plankton,ga, bga ,diatom,euglena,dino,protozoa,zoo,vibrio_yellow,vibrio_green,vibrio_black,total_vibrio,total_bakteri,percent_vibrio,wheater,tss,turbidity,conductivity,luminescence,settleable_solids,fr,protein_content,feed_given.1,population,biomass_kg,harvest_biomass_kg,harvest_population,total_biomass,realized_revenue,potential_revenue,cost_harvest,cost_energy,cost_probiotics,cost_other,cost_labor,cost_bonuss,cost_feed,cost_seed,total_cost,adj_fr,feed_ration_1,feed_ration_2,feed_ration_3,feed_ration_4,fcr,cost_per_kg,initial_fr,realized_fcr,carriying_capacity,cum_feed,cum_total_cost,yield,profit,wqi
A,1,0.05,8,6.11,29.6,,,,,,,1.0,30255000.0,605100.0,8989143.48,128000,01/15/2025,,0.0,0.0,0.0,8.4,90.0,30,,,,,0.15,0.01,6.0,5500,,,,,,,,,,,,,,,,45,,,,1.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,2,0.06,16,5.81,29.7,12.0,142029.1667,,,,,1.0,,,415.2,256000,01/16/2025,,,,0.0,8.3,,30,,,,,,,,3300,,,,,,,,,,,,,,,,40,,,,0.99,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,3,0.06,18,6.43,27.6,12.0,142029.1667,,,,,1.0,,,459645.2655,288000,01/17/2025,,,,0.0,8.4,,31,,,,,,,,4400,,,,,,,,,,,,,,,,45,,,,0.98,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,4,0.01,19,6.2,28.7,12.0,142029.1667,,,,,1.0,,,419085.0,304000,01/18/2025,,0.0,0.0,0.0,8.4,96.0,31,,320.0,800.0,1120.0,0.2,0.01,6.0,5500,0.96,0.0,0.0,0.01,0.02,0.01,0.0,10.0,0.0,0.0,10.0,5.8,0.0,,,48,,,,0.97,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,5,0.0,20,7.04,29.1,12.0,142029.1667,,,,,1.0,,,294483.0,320000,01/19/2025,,,,0.0,8.4,,31,,,,,,,,8900,,,,,,,,,,,,,,,,50,,,,0.96,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,6,0.01,21,6.07,29.2,12.0,142029.1667,,,,,1.0,,,854316.0,336000,01/20/2025,,,,0.0,8.4,,30,,,,,,,,5500,,,,,,,,,,,,,,,,45,,,,0.95,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,7,0.02,22,6.29,28.8,12.0,142029.1667,,,,,0.99,,,189064.68,352000,01/21/2025,,0.0,0.0,0.0,8.4,100.0,30,,320.0,800.0,1120.0,0.1,0.01,7.0,13300,0.98,0.0,0.0,0.01,0.01,0.0,0.0,30.0,0.0,0.0,30.0,6.1,0.0,,,50,,,,0.94,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,8,0.02,24,6.12,28.4,12.0,142029.1667,,,,,0.99,,,206778.6,384000,01/22/2025,,,,0.0,8.4,,30,,,,,,,,6600,,,,,,,,,,,,,,,,40,,,,0.93,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,9,0.03,25,,27.9,12.0,142029.1667,,,,,0.99,,,419706.6,400000,01/23/2025,,,,0.0,8.3,,30,,,,,,,,2200,,,,,,,,,,,,,,,,38,,,,0.92,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,10,0.04,26,6.77,28.3,12.0,142029.1667,,,,,0.99,,,59435.53,416000,01/24/2025,,0.1,0.02,0.12,8.3,118.0,30,,320.0,750.0,1070.0,0.15,0.0,7.0,7700,0.98,0.0,0.0,0.0,0.01,0.01,0.0,40.0,0.0,0.0,40.0,3.8,0.01,,,40,,,,0.91,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,11,0.07,28,8.25,28.7,12.0,142029.1667,,,,,0.99,,,156876.3,448000,01/25/2025,,,,0.0,8.3,,30,,,,,,,,40000,,,,,,,,,,,,,,,,40,,,,0.9,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,12,0.09,31,8.65,28.9,12.0,142029.1667,,,,,0.99,,,237359.87,496000,01/26/2025,,,,0.0,8.3,,30,,,,,,,,52200,,,,,,,,,,,,,,,,35,,,,0.89,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,13,0.12,33,8.45,29.0,12.0,142029.1667,,,,,0.99,,,2947199.15,528000,01/27/2025,,0.1,0.02,0.12,8.3,124.0,30,,320.0,750.0,1070.0,0.25,0.0,8.0,95500,0.99,0.0,0.0,0.0,0.0,0.01,0.0,30.0,0.0,0.0,30.0,5.8,0.01,,,30,,,,0.88,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,14,0.14,36,8.88,28.5,12.0,142029.1667,,,,,0.99,,,223332.0,576000,01/28/2025,,,,0.0,8.0,,30,,,,,,,,106000,,,,,,,,,,,,,,,,35,,,,0.87,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,15,0.17,39,7.03,28.8,12.0,142029.1667,,,,,0.99,,,233010.89,624000,01/29/2025,,,,0.0,7.9,,30,,,,,,,,50100,,,,,,,,,,,,,,,,45,,,,0.86,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,16,0.26,43,5.77,28.6,12.0,142029.1667,,,,,0.99,,,671402.53,688000,01/30/2025,,1.5,0.05,1.55,7.7,120.0,30,,320.0,750.0,1070.0,0.3,0.01,5.0,26600,0.93,0.0,0.04,0.01,0.02,0.0,0.0,10.0,0.0,0.0,10.0,6.8,0.0,,,60,,,,0.85,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,17,0.36,47,5.46,28.7,12.0,142029.1667,,,,,0.99,,,290079.963,752000,01/31/2025,,,,0.0,7.9,,30,,,,,,,,4400,,,,,,,,,,,,,,,,60,,,,0.84,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,18,0.45,50,6.21,28.2,12.0,142029.1667,,,,,0.99,,,368889.963,800000,02/01/2025,,2.2,0.16,2.36,8.0,,30,,,,,,0.0,,7700,,,,,,,,,,,,,,,,50,,,,0.83,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,19,0.55,44,5.9,28.6,12.0,142029.1667,,,,,0.99,,,630220.26,704000,02/02/2025,,2.5,0.09,2.59,7.7,138.0,28,,320.0,900.0,1220.0,0.75,0.01,4.0,10000,0.7,0.0,0.24,0.0,0.03,0.03,0.0,0.0,110.0,0.0,110.0,1.1,0.1,,,40,,,,0.82,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,20,0.64,40,6.14,28.8,12.0,142029.1667,,,,,0.99,,,433306.26,640000,02/03/2025,,,,0.0,7.9,,29,,,,,,,,8800,,,,,,,,,,,,,,,,50,,,,0.81,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,21,0.84,43,6.76,29.0,12.0,142029.1667,,,,,0.99,,,2810870.11,688000,02/04/2025,,2.8,0.21,3.01,8.0,148.0,27,,,,,1.2,0.01,4.0,7700,,,,,,,,,,,,,,,,50,,,,0.8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,22,1.04,46,8.12,28.3,12.0,142029.1667,,,,,0.99,,,827286.32,736000,02/05/2025,,2.8,0.18,2.98,7.7,148.0,28,,320.0,950.0,1270.0,1.5,0.01,5.0,5500,0.78,0.0,0.21,0.0,0.01,0.0,0.0,180.0,0.0,0.0,180.0,4.2,0.04,,,40,,,,0.79,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,23,1.24,48,6.76,29.0,12.0,142029.1667,,,,,0.99,,,144706.26,768000,02/06/2025,,2.2,0.14,2.34,7.9,154.0,27,,,,,1.2,0.01,6.0,6600,,,,,,,,,,,,,,,,35,,,,0.78,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,24,1.44,50,7.3,27.5,12.0,142029.1667,,,,,0.99,,,1575748.452,800000,02/07/2025,,2.0,0.13,2.13,8.0,152.0,28,,,,,1.5,0.01,6.0,13300,,,,,,,,,,,,,,,,40,,,,0.77,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,25,1.62,53,8.34,26.4,12.0,142029.1667,,,,,0.99,,,567928.452,848000,02/08/2025,,1.5,0.15,1.65,8.1,156.0,28,,320.0,800.0,1120.0,1.1,0.01,6.0,6700,0.64,0.0,0.33,0.01,0.02,0.0,0.0,80.0,20.0,0.0,100.0,13.5,0.01,,,40,,,,0.76,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,26,1.65,56,8.6,27.2,12.0,142029.1667,,,,,0.99,,,245887.422,896000,02/09/2025,,0.8,0.07,0.87,8.1,152.0,28,,,,,,0.01,,6600,,,,,,,,,,,,,,,,30,,,,0.75,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,27,1.68,55,7.64,27.2,12.0,142029.1667,,,,,0.98,,,661087.422,880000,02/10/2025,,0.7,0.06,0.76,8.1,,28,,,,,,0.02,,13300,,,,,,,,,,,,,,,,35,,,,0.74,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,28,1.71,50,8.43,26.7,12.0,142029.1667,,,,,0.98,,,138439.721,800000,02/11/2025,,0.8,0.07,0.87,8.1,174.0,28,,320.0,750.0,1070.0,1.0,0.02,7.0,10000,0.65,0.0,0.27,0.0,0.06,0.01,0.0,10.0,0.0,0.0,10.0,22.4,0.0,,,35,,,,0.73,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,29,1.74,65,6.8,27.1,12.0,142029.1667,,,,,0.97,,,85205.598,1040000,02/12/2025,,0.8,0.07,0.87,8.1,188.0,28,,,,,,0.02,,11100,,,,,,,,,,,,,,,,40,,,,0.72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,30,1.77,53,6.58,27.0,12.0,142029.1667,,,,,0.97,,,89769.225,848000,02/13/2025,,0.7,0.08,0.78,8.3,194.0,29,,,,,,0.03,,21100,,,,,,,,,,,,,,,,40,,,,0.71,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,31,1.93,68,7.3,27.1,12.0,142029.1667,,,,,0.95,,,233821.5,1088000,02/14/2025,,0.4,0.06,0.46,8.3,196.0,29,,320.0,800.0,1120.0,0.5,0.05,7.0,25500,0.55,0.0,0.42,0.0,0.02,0.01,0.0,330.0,20.0,0.0,350.0,13.7,0.03,,,35,,,,0.7,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,32,2.09,64,6.76,27.1,12.0,142029.1667,,,,,0.94,,,1546502.72,1024000,02/15/2025,,0.1,0.02,0.12,8.4,184.0,28,,,,,,0.05,,18900,,,,,,,,,,,,,,,,35,,,,0.69,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,33,2.25,79,6.49,27.1,12.0,142029.1667,,,,,0.94,,,479937.624,1264000,02/16/2025,,0.1,0.01,0.11,8.2,194.0,27,,,,,,0.05,,37800,,,,,,,,,,,,,,,,35,,,,0.68,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,34,2.41,77,5.14,28.2,12.0,142029.1667,,,,,0.94,,,206168.5,1232000,02/17/2025,,0.1,0.01,0.11,8.1,196.0,28,,320.0,800.0,1120.0,0.6,0.05,9.0,56500,0.6,0.0,0.31,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,,,35,,,,0.67,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,35,2.55,83,5.21,27.9,12.0,142029.1667,,,,,0.94,,,155469.472,1328000,02/18/2025,,0.1,0.01,0.11,8.2,204.0,28,,,,,,0.01,,48800,,,,,,,,,,,,,,,,30,,,,0.66,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,36,2.72,89,5.44,28.7,12.0,142029.1667,,,,,0.93,,,126394.798,1424000,02/19/2025,,0.1,0.01,0.11,8.1,202.0,28,,,,,,0.01,,63300,,,,,,,,,,,,,,,,30,,,,0.65,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,37,2.89,96,5.96,28.8,12.0,142029.1667,,,,,0.93,,,507373.66,1536000,02/20/2025,,0.1,0.02,0.12,8.3,212.0,29,,320.0,800.0,1120.0,0.5,0.01,9.0,35500,0.6,0.0,0.37,0.0,0.02,0.0,1.0,2.74,210.0,0.0,2.95,32.6,0.09,,,30,,,,0.64,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,38,3.06,86,8.23,28.4,12.0,142029.1667,,,,,0.93,,,143132.71,1376000,02/21/2025,,0.1,0.01,0.11,8.3,202.0,28,,,,,,0.01,,49900,,,,,,,,,,,,,,,,30,,,,0.63,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,39,3.23,110,7.6,27.8,12.0,142029.1667,,,,,0.93,,,1522920.0,1760000,02/22/2025,,0.1,0.01,0.11,8.3,210.0,28,,,,,,0.01,,76600,,,,,,,,,,,,,,,,30,,,,0.62,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,40,3.41,116,7.31,28.0,12.0,142029.1667,,,,,0.93,,,198262.86,1856000,02/23/2025,,0.1,0.01,0.11,8.0,200.0,28,,320.0,950.0,1270.0,0.75,0.0,9.0,112000,0.65,0.15,0.08,0.0,0.09,0.03,0.0,2.86,0.0,0.0,2.86,23.3,0.12,,,30,,,,0.61,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,41,3.64,118,9.96,27.5,12.0,142029.1667,,,,,0.93,,,95919.082,1888000,02/24/2025,,0.1,0.01,0.11,8.0,202.0,29,,,,,,0.01,,43300,,,,,,,,,,,,,,,,30,,,,0.6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,42,3.87,126,7.89,28.1,12.0,142029.1667,,,,,0.93,,,285927.404,2016000,02/25/2025,,0.1,0.01,0.11,8.0,204.0,30,,,,,,0.01,,60000,,,,,,,,,,,,,,,,30,,,,0.59,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,43,4.1,99,8.33,27.6,12.0,142029.1667,,,,,0.92,,,102888.55,1584000,02/26/2025,,0.1,,0.1,,210.0,29,,320.0,1000.0,1320.0,0.5,0.01,9.0,131000,0.67,0.1,0.09,0.0,0.11,0.02,0.0,670.0,70.0,0.0,740.0,14.1,0.05,,,30,,,,0.58,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,44,4.33,132,6.75,27.7,12.0,142029.1667,,,,,0.92,,,307068.624,2112000,02/27/2025,,0.1,,0.1,,202.0,30,,,,,,0.01,,112000,,,,,,,,,,,,,,,,30,,,,0.57,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,45,4.55,135,7.33,28.3,12.0,142029.1667,,,,,0.92,,,309902.007,2160000,02/28/2025,,0.1,,0.1,,190.0,29,,,,,,0.01,,93200,,,,,,,,,,,,,,,,25,,,,0.56,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,46,4.87,101,6.66,28.8,12.0,142029.1667,,,,,0.92,,,143756.8155,1616000,03/01/2025,,0.1,,0.1,,184.0,30,,320.0,950.0,1270.0,0.25,0.0,11.0,160000,0.79,0.11,0.01,0.0,0.07,0.02,0.0,140.0,180.0,0.0,320.0,37.1,0.01,,,25,,,,0.55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,47,5.19,112,6.46,29.2,12.0,142029.1667,,,,,0.91,,,449555.55,1792000,03/02/2025,,0.1,,0.1,,188.0,28,,,,,,0.0,,145000,,,,,,,,,,,,,,,,30,,,,0.54,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,48,5.51,115,6.08,28.5,12.0,142029.1667,,,,,0.91,,,142932.18,1840000,03/03/2025,,0.1,,0.1,,160.0,30,,,,,,0.0,,181000,,,,,,,,,,,,,,,,30,,,,0.53,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,49,5.83,147,6.43,28.2,12.0,142029.1667,,,,,0.9,,,206019.014,2352000,03/04/2025,,0.1,0.01,0.11,7.7,154.0,28,,320.0,1000.0,1320.0,0.3,0.0,12.0,180000,0.73,0.07,0.03,0.0,0.16,0.0,0.0,150.0,50.0,0.0,200.0,6.6,0.03,,,30,,,,0.52,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,50,6.14,155,6.39,28.1,12.0,142029.1667,,,,,0.9,,,39743.98,2480000,03/05/2025,,0.1,0.0,0.1,7.7,166.0,25,,,,,,0.0,,160000,,,,,,,,,,,,,,,,25,,,,0.51,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,51,6.46,164,6.56,28.1,12.0,142029.1667,,,,,0.89,,,187029.117,2624000,03/06/2025,,0.2,0.02,0.22,8.1,168.0,28,,,,,,0.01,,102000,,,,,,,,,,,,,,,,25,,,,0.5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,52,6.78,167,6.6,27.9,12.0,142029.1667,,,,,0.88,,,462484.83,2672000,03/07/2025,,0.2,0.02,0.22,7.9,188.0,28,,320.0,950.0,1270.0,0.6,0.02,12.0,97800,0.58,0.32,0.05,0.0,0.04,0.0,0.0,910.0,80.0,0.0,990.0,15.6,0.06,,,30,,,,0.49,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,53,7.1,170,6.32,28.1,12.0,142029.1667,,,,,0.87,,,157620.0,2720000,03/08/2025,,0.2,0.02,0.22,7.9,200.0,28,,,,,,0.02,,93400,,,,,,,,,,,,,,,,25,,,,0.48,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,54,7.42,118,6.16,27.7,12.0,142029.1667,,,,,0.85,,,180701.8,1888000,03/09/2025,,0.4,0.03,0.43,8.0,224.0,26,,,,,,0.02,,110000,,,,,,,,,,,,,,,,25,,,,0.47,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,55,7.72,142,6.37,27.4,12.0,142029.1667,,,,,0.83,,,170417.19,2272000,03/10/2025,,1.0,0.07,1.07,8.0,208.0,26,,320.0,1100.0,1420.0,0.6,0.02,10.0,90000,0.58,0.32,0.03,0.0,0.06,0.01,0.0,540.0,40.0,0.0,580.0,9.3,0.06,,,30,,,,0.46,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,56,8.1,120,6.61,27.3,12.0,142029.1667,,,,,0.81,,,43197.19,1920000,03/11/2025,,1.2,0.1,1.3,8.0,216.0,25,,,,,,0.03,,123000,,,,,,,,,,,,,,,,25,,,,0.45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,57,8.48,134,6.33,28.1,12.0,142029.1667,,,,,0.79,,,214506.39,2144000,03/12/2025,,0.6,0.04,0.64,7.7,194.0,27,,,,,,0.05,,108000,,,,,,,,,,,,,,,,25,,,,0.44,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,58,8.86,180,6.54,28.4,12.0,142029.1667,,,,,0.78,,,97624.6,2880000,03/13/2025,,0.4,0.04,0.44,8.1,210.0,25,,340.0,1275.0,1615.0,0.3,0.08,9.0,100000,0.56,0.25,0.08,0.0,0.1,0.01,0.0,3.26,0.0,0.0,3.26,16.5,0.2,,,25,,,,0.43,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,59,9.24,184,,27.7,12.0,142029.1667,,,,,0.77,,,172564.596,2944000,03/14/2025,,0.8,0.06,0.86,8.0,204.0,27,,,,,,0.1,,61100,,,,,,,,,,,,,,,,30,,,,0.42,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,60,9.63,192,6.76,28.6,12.0,142029.1667,,,,,0.77,,,34064.6,3072000,03/15/2025,,1.5,0.15,1.65,8.1,220.0,29,,,,,,0.13,,37700,,,,,,,,,,,,,,,,25,,,,0.41,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,61,10.04,201,7.23,28.2,12.0,142029.1667,,,,,0.77,,,90059.6,3216000,03/16/2025,,0.8,0.05,0.85,7.9,206.0,30,,360.0,1225.0,1585.0,1.1,0.15,9.0,55500,0.76,0.14,0.0,0.0,0.08,0.01,0.41,3.48,0.0,0.0,3.48,35.3,0.1,,,35,,,,0.4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,62,10.45,210,8.05,27.4,12.0,142029.1667,,,,,0.77,,,111344.596,3360000,03/17/2025,,0.6,0.06,0.66,8.0,204.0,28,,,,,,0.17,,58900,,,,,,,,,,,,,,,,30,,,,0.39,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,63,10.86,218,8.35,29.0,12.0,142029.1667,,,,,0.77,,,30161.822,3488000,03/18/2025,,0.2,0.02,0.22,7.9,186.0,27,,,,,,0.2,,63400,,,,,,,,,,,,,,,,30,,,,0.38,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,64,11.27,228,8.15,28.2,12.0,142029.1667,,,,,0.77,,,209328.5,3648000,03/19/2025,,0.1,0.01,0.11,7.9,206.0,27,,400.0,1200.0,1600.0,1.0,0.22,8.0,101000,0.8,0.11,0.04,0.0,0.01,0.01,1.97,1.07,0.0,0.0,1.07,12.6,0.08,,,30,,,,0.37,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
